,RaceId,DriverId,ConstructorId_x,GridNumber,DriverPosition,ConstructorId_y,QualifyingPosition
615,31,8,6,14,9,6.0,14.0
616,31,9,2,11,3,2.0,11.0
617,31,10,7,9,11,7.0,9.0
618,31,12,4,17,10,4.0,17.0
619,31,13,6,6,6,6.0,6.0
620,31,14,9,13,16,9.0,13.0
621,31,15,7,7,13,7.0,7.0
622,31,16,10,20,19,10.0,20.0
623,31,17,9,3,8,9.0,3.0
624,31,18,11,19,15,11.0,19.0
625,31,20,5,1,1,5.0,1.0
626,31,21,10,12,\N,10.0,12.0
627,31,22,11,16,17,11.0,16.0
628,32,1,1,2,3,1.0,2.0
629,32,2,2,9,6,2.0,6.0
630,32,3,3,8,2,3.0,9.0
631,32,4,4,15,1,4.0,15.0
632,32,5,1,5,10,1.0,5.0
633,32,6,3,10,8,3.0,10.0
634,32,7,5,17,12,5.0,17.0
635,32,8,6,3,15,6.0,3.0
636,32,9,2,4,11,2.0,4.0
637,32,10,7,7,4,7.0,8.0
638,32,12,4,16,\N,4.0,16.0
639,32,13,6,1,13,6.0,1.0
640,32,14,9,14,7,9.0,14.0
641,32,15,7,11,\N,7.0,11.0
642,32,16,10,19,\N,10.0,19.0
643,32,17,9,13,\N,9.0,13.0
644,32,18,11,12,9,11.0,12.0
645,32,20,5,6,5,5.0,7.0
646,32,21,10,20,14,10.0,20.0
647,32,22,11,18,\N,11.0,18.0
648,33,1,1,1,12,1.0,1.0
649,33,2,2,16,9,2.0,16.0
650,33,3,3,15,11,3.0,15.0
651,33,4,4,4,1,4.0,4.0
652,33,5,1,3,\N,1.0,3.0
653,33,6,3,14,15,3.0,14.0
654,33,7,5,10,10,5.0,10.0
655,33,8,6,2,3,6.0,2.0
656,33,9,2,6,2,2.0,6.0
657,33,10,7,8,\N,7.0,8.0
658,33,12,4,12,4,4.0,12.0
659,33,13,6,5,7,6.0,5.0
660,33,14,9,11,\N,9.0,11.0
661,33,15,7,7,5,7.0,7.0
662,33,16,10,19,\N,10.0,19.0
663,33,17,9,13,8,9.0,13.0
664,33,18,11,18,14,11.0,18.0
665,33,20,5,9,6,5.0,9.0
666,33,21,10,20,\N,10.0,20.0
667,33,22,11,17,13,11.0,17.0
668,34,1,1,1,1,1.0,1.0
669,34,2,2,9,5,2.0,7.0
670,34,3,3,14,15,3.0,15.0
671,34,4,4,4,4,4.0,4.0
672,34,5,1,5,\N,1.0,5.0
673,34,6,3,17,12,3.0,17.0
674,34,7,5,8,13,5.0,10.0
675,34,8,6,2,3,6.0,2.0
676,34,9,2,11,6,2.0,12.0
677,34,10,7,12,7,7.0,13.0
678,34,12,4,10,8,4.0,11.0
679,34,13,6,3,2,6.0,3.0
680,34,14,9,15,10,9.0,16.0
681,34,15,7,7,\N,7.0,9.0
