,RaceId,DriverId,ConstructorId,GridNumber,QualifyingPosition,CircuitId,TotalDriverPoints
280,15,1,1,3,3,22,43
281,15,2,2,4,6,22,15
282,15,3,3,7,11,22,34
283,15,4,4,16,12,22,26
284,15,5,1,11,9,22,22
285,15,6,3,15,17,22,0
286,15,8,6,5,8,22,45
287,15,9,2,9,13,22,9
288,15,10,7,20,14,22,24
289,15,15,7,2,2,22,30
290,15,16,10,8,4,22,5
291,15,17,9,19,20,22,51
292,15,18,23,10,7,22,85
293,15,20,9,1,1,22,69
294,15,21,6,14,16,22,8
295,15,22,23,6,5,22,71
296,15,24,10,18,19,22,0
297,15,67,5,13,10,22,3
298,15,153,5,12,15,22,0
299,15,154,4,17,18,22,0
300,16,1,1,17,18,18,49
301,16,2,2,18,19,18,15
302,16,3,3,7,7,18,34
303,16,4,4,10,10,18,26
304,16,5,1,16,17,18,22
305,16,6,3,9,9,18,0
306,16,8,6,5,5,18,48
307,16,9,2,8,8,18,17
308,16,15,7,4,4,18,30
309,16,16,10,3,3,18,5
310,16,17,9,2,2,18,61
311,16,18,23,14,14,18,89
312,16,20,9,15,16,18,74
313,16,21,6,19,20,18,8
314,16,22,23,1,1,18,72
315,16,24,10,20,15,18,0
316,16,67,5,6,6,18,5
317,16,153,5,12,12,18,0
318,16,154,4,13,13,18,0
319,16,155,7,11,11,18,0
320,17,1,1,1,1,24,49
321,17,2,2,8,8,24,19
322,17,3,3,9,9,24,34
323,17,4,4,15,16,24,26
324,17,5,1,18,13,24,22
325,17,6,3,13,14,24,0
326,17,8,6,11,11,24,48
327,17,9,2,7,7,24,17
328,17,15,7,6,6,24,32
329,17,16,10,17,18,24,5
330,17,17,9,3,3,24,69
331,17,18,23,5,5,24,95
332,17,20,9,2,2,24,84
333,17,21,6,20,20,24,8
334,17,22,23,4,4,24,77
335,17,24,10,16,17,24,0
336,17,67,5,10,10,24,6
337,17,153,5,14,15,24,0
338,17,154,4,19,19,24,0
339,17,155,7,12,12,24,3
340,18,1,1,1,1,1,10
341,18,2,2,5,5,1,8
342,18,3,3,7,7,1,6
343,18,4,4,11,12,1,5
344,18,5,1,3,3,1,4
345,18,6,3,13,14,1,3
346,18,7,5,17,18,1,2
347,18,8,6,15,16,1,1
348,18,9,2,2,2,1,0
349,18,10,7,18,9,1,0
350,18,11,8,19,20,1,0
351,18,12,4,20,21,1,0
352,18,13,6,4,4,1,0
353,18,14,9,8,8,1,0
354,18,15,7,6,6,1,0
355,18,16,10,22,19,1,0
356,18,17,9,14,15,1,0
357,18,18,11,12,13,1,0
358,18,19,8,21,22,1,0
359,18,20,5,9,10,1,0
360,18,21,10,16,17,1,0
361,18,22,11,10,11,1,0
362,19,1,1,9,4,2,14
363,19,2,2,5,7,2,11
364,19,3,3,16,16,2,6
365,19,4,4,7,9,2,6
366,19,5,1,8,3,2,10
367,19,6,3,22,18,2,3
368,19,7,5,18,19,2,2
369,19,8,6,2,2,2,11
370,19,9,2,4,6,2,8
371,19,10,7,10,10,2,0
372,19,11,8,19,20,2,0
373,19,12,4,13,13,2,0
374,19,13,6,1,1,2,0
375,19,14,9,12,12,2,0
376,19,15,7,3,5,2,5
377,19,16,10,20,21,2,0
378,19,17,9,6,8,2,2
379,19,18,11,11,11,2,0
380,19,19,8,21,22,2,0
381,19,20,5,15,15,2,0
382,19,21,10,17,17,2,0
383,19,22,11,14,14,2,0
384,20,1,1,3,3,3,14
385,20,2,2,6,6,3,16
386,20,3,3,8,8,3,7
387,20,4,4,10,10,3,6
388,20,5,1,5,5,3,14
389,20,6,3,16,16,3,3
390,20,7,5,15,15,3,2
391,20,8,6,4,4,3,19
392,20,9,2,1,1,3,14
393,20,10,7,13,13,3,0
394,20,11,8,22,22,3,0
395,20,12,4,14,14,3,0
396,20,13,6,2,2,3,10
397,20,14,9,17,17,3,0
398,20,15,7,7,7,3,8
399,20,16,10,20,20,3,0
400,20,17,9,11,11,3,4
401,20,18,11,9,9,3,0
402,20,19,8,21,21,3,0
403,20,20,5,19,19,3,0
404,20,21,10,18,18,3,0
405,20,22,11,12,12,3,0
406,21,1,1,5,5,4,20
407,21,2,2,9,9,4,16
408,21,3,3,15,15,4,7
409,21,4,4,2,2,4,6
410,21,5,1,6,6,4,14
411,21,6,3,12,12,4,5
412,21,7,5,16,16,4,2
413,21,8,6,1,1,4,29
414,21,9,2,4,4,4,19
415,21,10,7,14,14,4,0
416,21,11,8,22,22,4,0
417,21,12,4,10,10,4,0
418,21,13,6,3,3,4,18
419,21,14,9,17,17,4,0
420,21,15,7,8,8,4,9
421,21,16,10,20,20,4,0
422,21,17,9,7,7,4,8
423,21,18,11,13,13,4,3
424,21,19,8,21,21,4,0
425,21,20,5,18,18,4,0
426,21,21,10,19,19,4,0
427,21,22,11,11,11,4,0
428,22,1,1,3,3,5,28
429,22,2,2,9,9,5,20
430,22,3,3,11,11,5,8
431,22,4,4,7,7,5,9
432,22,5,1,2,2,5,14
433,22,6,3,16,16,5,5
434,22,7,5,18,18,5,2
435,22,8,6,4,4,5,35
436,22,9,2,5,5,5,24
437,22,10,7,15,15,5,0
438,22,12,4,17,17,5,0
439,22,13,6,1,1,5,28
440,22,14,9,10,10,5,0
441,22,15,7,8,8,5,9
442,22,16,10,19,20,5,0
443,22,17,9,6,6,5,10
444,22,18,11,13,13,5,3
445,22,20,5,14,14,5,0
446,22,21,10,20,19,5,0
447,22,22,11,12,12,5,0
448,23,1,1,3,3,6,38
449,23,2,2,12,13,6,20
450,23,3,3,6,6,6,8
451,23,4,4,7,7,6,9
452,23,5,1,4,4,6,15
453,23,6,3,13,14,6,7
454,23,7,5,16,16,6,2
455,23,8,6,2,2,6,35
456,23,9,2,5,5,6,32
457,23,10,7,10,11,6,0
458,23,12,4,17,17,6,0
459,23,13,6,1,1,6,34
460,23,14,9,15,10,6,0
461,23,15,7,8,8,6,9
462,23,16,10,18,19,6,0
463,23,17,9,9,9,6,15
464,23,18,11,11,12,6,3
465,23,20,5,19,18,6,4
466,23,21,10,20,20,6,0
467,23,22,11,14,15,6,3
468,24,1,1,1,1,7,38
469,24,2,2,8,8,7,28
470,24,3,3,5,5,7,8
471,24,4,4,4,4,7,9
472,24,5,1,7,7,7,15
473,24,6,3,12,12,7,7
474,24,7,5,18,16,7,2
475,24,8,6,3,3,7,35
476,24,9,2,2,2,7,42
477,24,10,7,11,11,7,5
478,24,12,4,15,15,7,0
479,24,13,6,6,6,7,38
480,24,14,9,13,13,7,6
481,24,15,7,14,14,7,12
482,24,16,10,16,17,7,0
483,24,17,9,10,10,7,15
484,24,18,11,20,19,7,3
485,24,20,5,19,20,7,5
486,24,21,10,17,18,7,0
487,24,22,11,9,9,7,5
488,25,1,1,13,3,8,38
489,25,2,2,11,12,8,28
490,25,3,3,19,15,8,8
491,25,4,4,3,4,8,10
492,25,5,1,10,6,8,20
493,25,6,3,15,16,8,7
494,25,7,5,14,14,8,2
495,25,8,6,1,1,8,43
496,25,9,2,5,7,8,46
497,25,10,7,8,10,8,5
498,25,12,4,9,11,8,2
499,25,13,6,2,2,8,48
500,25,14,9,7,9,8,6
501,25,15,7,4,5,8,18
502,25,16,10,18,20,8,0
503,25,17,9,6,8,8,18
504,25,18,11,16,17,8,3
505,25,20,5,12,13,8,5
506,25,21,10,17,19,8,0
507,25,22,11,20,18,8,5
508,26,1,1,4,4,9,48
509,26,2,2,5,5,9,36
510,26,3,3,20,18,9,8
511,26,4,4,6,6,9,13
512,26,5,1,1,1,9,24
513,26,6,3,15,15,9,8
514,26,7,5,13,13,9,2
515,26,8,6,3,3,9,48
516,26,9,2,10,10,9,46
517,26,10,7,12,12,9,5
518,26,12,4,7,7,9,2
519,26,13,6,9,9,9,48
520,26,14,9,11,11,9,6
521,26,15,7,14,14,9,20
522,26,16,10,18,19,9,0
523,26,17,9,2,2,9,18
524,26,18,11,17,17,9,3
525,26,20,5,8,8,9,5
526,26,21,10,19,20,9,0
527,26,22,11,16,16,9,11
528,27,1,1,1,1,10,58
529,27,2,2,12,12,10,41
530,27,3,3,13,13,10,8
531,27,4,4,5,5,10,13
532,27,5,1,3,3,10,28
533,27,6,3,16,16,10,8
534,27,7,5,15,15,10,2
535,27,8,6,6,6,10,51
536,27,9,2,7,7,10,48
537,27,10,7,11,11,10,5
538,27,12,4,17,17,10,10
539,27,13,6,2,2,10,54
540,27,14,9,10,10,10,6
541,27,15,7,4,4,10,20
542,27,16,10,19,19,10,0
543,27,17,9,8,8,10,18
544,27,18,11,14,14,10,3
545,27,20,5,9,9,10,6
546,27,21,10,20,20,10,0
547,27,22,11,18,18,10,11
548,28,1,1,1,1,11,62
549,28,2,2,15,16,11,41
550,28,3,3,14,15,11,8
551,28,4,4,7,7,11,18
552,28,5,1,2,2,11,38
553,28,6,3,16,17,11,8
554,28,7,5,19,14,11,2
555,28,8,6,6,6,11,57
556,28,9,2,4,4,11,49
557,28,10,7,5,5,11,13
558,28,12,4,10,10,11,13
559,28,13,6,3,3,11,54
560,28,14,9,13,13,11,6
561,28,15,7,9,9,11,22
562,28,16,10,20,20,11,0
563,28,17,9,8,8,11,18
564,28,18,11,12,12,11,3
565,28,20,5,11,11,11,6
566,28,21,10,18,19,11,0
567,28,22,11,17,18,11,11
568,29,1,1,2,2,12,70
569,29,2,2,8,8,12,41
570,29,3,3,9,9,12,9
571,29,4,4,12,12,12,18
572,29,5,1,5,5,12,43
573,29,6,3,11,11,12,8
574,29,7,5,10,10,12,2
575,29,8,6,4,4,12,57
576,29,9,2,3,3,12,55
577,29,10,7,13,13,12,15
578,29,12,4,15,15,12,13
579,29,13,6,1,1,12,64
580,29,14,9,17,17,12,6
581,29,15,7,7,7,12,26
582,29,16,10,20,20,12,0
583,29,17,9,14,14,12,18
584,29,18,11,16,16,12,3
585,29,20,5,6,6,12,9
586,29,21,10,18,18,12,0
587,29,22,11,19,19,12,11
588,30,1,1,1,1,13,76
589,30,2,2,5,5,13,49
