,RaceId,DriverId,ConstructorId,GridNumber,QualifyingPosition,CircuitId,TotalDriverPoints,DriverPosition
348,18,9,2,2,2.0,1,0,\N
349,18,10,7,18,9.0,1,0,\N
350,18,11,8,19,20.0,1,0,\N
351,18,12,4,20,21.0,1,0,\N
352,18,13,6,4,4.0,1,0,\N
353,18,14,9,8,8.0,1,0,\N
354,18,15,7,6,6.0,1,0,\N
355,18,16,10,22,19.0,1,0,\N
356,18,17,9,14,15.0,1,0,\N
357,18,18,11,12,13.0,1,0,\N
358,18,19,8,21,22.0,1,0,\N
359,18,20,5,9,10.0,1,0,\N
360,18,21,10,16,17.0,1,0,\N
361,18,22,11,10,11.0,1,0,\N
362,19,1,1,9,4.0,2,14,5
363,19,2,2,5,7.0,2,11,6
364,19,3,3,16,16.0,2,6,14
365,19,4,4,7,9.0,2,6,8
366,19,5,1,8,3.0,2,10,3
367,19,6,3,22,18.0,2,3,17
368,19,7,5,18,19.0,2,2,\N
369,19,8,6,2,2.0,2,11,1
370,19,9,2,4,6.0,2,8,2
371,19,10,7,10,10.0,2,0,\N
372,19,11,8,19,20.0,2,0,16
373,19,12,4,13,13.0,2,0,11
374,19,13,6,1,1.0,2,0,\N
375,19,14,9,12,12.0,2,0,9
376,19,15,7,3,5.0,2,5,4
377,19,16,10,20,21.0,2,0,\N
378,19,17,9,6,8.0,2,2,7
379,19,18,11,11,11.0,2,0,10
380,19,19,8,21,22.0,2,0,15
381,19,20,5,15,15.0,2,0,\N
382,19,21,10,17,17.0,2,0,12
383,19,22,11,14,14.0,2,0,13
384,20,1,1,3,3.0,3,14,13
385,20,2,2,6,6.0,3,16,4
386,20,3,3,8,8.0,3,7,8
387,20,4,4,10,10.0,3,6,10
388,20,5,1,5,5.0,3,14,5
389,20,6,3,16,16.0,3,3,14
390,20,7,5,15,15.0,3,2,15
391,20,8,6,4,4.0,3,19,2
392,20,9,2,1,1.0,3,14,3
393,20,10,7,13,13.0,3,0,9
394,20,11,8,22,22.0,3,0,17
395,20,12,4,14,14.0,3,0,\N
396,20,13,6,2,2.0,3,10,1
397,20,14,9,17,17.0,3,0,18
398,20,15,7,7,7.0,3,8,6
399,20,16,10,20,20.0,3,0,19
400,20,17,9,11,11.0,3,4,7
401,20,18,11,9,9.0,3,0,\N
402,20,19,8,21,21.0,3,0,16
403,20,20,5,19,19.0,3,0,\N
404,20,21,10,18,18.0,3,0,12
405,20,22,11,12,12.0,3,0,11
406,21,1,1,5,5.0,4,20,3
407,21,2,2,9,9.0,4,16,9
408,21,3,3,15,15.0,4,7,\N
409,21,4,4,2,2.0,4,6,\N
410,21,5,1,6,6.0,4,14,\N
411,21,6,3,12,12.0,4,5,7
412,21,7,5,16,16.0,4,2,\N
413,21,8,6,1,1.0,4,29,1
414,21,9,2,4,4.0,4,19,4
415,21,10,7,14,14.0,4,0,11
416,21,11,8,22,22.0,4,0,13
417,21,12,4,10,10.0,4,0,\N
418,21,13,6,3,3.0,4,18,2
419,21,14,9,17,17.0,4,0,12
420,21,15,7,8,8.0,4,9,8
421,21,16,10,20,20.0,4,0,\N
422,21,17,9,7,7.0,4,8,5
423,21,18,11,13,13.0,4,3,6
424,21,19,8,21,21.0,4,0,\N
425,21,20,5,18,18.0,4,0,\N
426,21,21,10,19,19.0,4,0,10
427,21,22,11,11,11.0,4,0,\N
428,22,1,1,3,3.0,5,28,2
429,22,2,2,9,9.0,5,20,5
430,22,3,3,11,11.0,5,8,8
431,22,4,4,7,7.0,5,9,6
432,22,5,1,2,2.0,5,14,12
433,22,6,3,16,16.0,5,5,\N
434,22,7,5,18,18.0,5,2,\N
435,22,8,6,4,4.0,5,35,3
436,22,9,2,5,5.0,5,24,4
437,22,10,7,15,15.0,5,0,13
