,RaceIndexId,RaceId,Year,Round,CircuitId,DriverId,ConstructorId,QualifyingPosition,GridNumber,DriverPosition,TotalDriverPoints,ConstructorPoints,ConstructorPosition
147,554,263,1994,7,8,94.0,18.0,16.0,16.0,5,4.0,5.0,8.0
148,554,263,1994,7,8,87.0,25.0,17.0,17.0,10,4.0,8.0,7.0
149,554,263,1994,7,8,104.0,29.0,18.0,18.0,8,3.0,3.0,9.0
150,554,263,1994,7,8,65.0,32.0,19.0,19.0,7,0.0,0.0,11.0
151,554,263,1994,7,8,100.0,33.0,20.0,20.0,11,1.0,1.0,10.0
152,554,263,1994,7,8,105.0,18.0,21.0,21.0,\N,1.0,5.0,8.0
153,554,263,1994,7,8,81.0,29.0,22.0,22.0,\N,0.0,3.0,9.0
154,554,263,1994,7,8,70.0,32.0,23.0,23.0,\N,0.0,0.0,11.0
155,554,263,1994,7,8,101.0,31.0,24.0,24.0,\N,0.0,0.0,13.0
156,554,263,1994,7,8,106.0,33.0,25.0,25.0,\N,0.0,1.0,10.0
157,554,263,1994,7,8,111.0,31.0,26.0,26.0,9,0.0,0.0,13.0
158,555,264,1994,8,9,71.0,3.0,1.0,1.0,1,39.0,43.0,2.0
159,555,264,1994,8,9,30.0,22.0,2.0,2.0,\N,66.0,67.0,1.0
160,555,264,1994,8,9,77.0,6.0,3.0,3.0,\N,17.0,42.0,3.0
161,555,264,1994,8,9,55.0,6.0,4.0,4.0,2,19.0,42.0,3.0
162,555,264,1994,8,9,57.0,1.0,5.0,5.0,3,8.0,14.0,4.0
163,555,264,1994,8,9,22.0,17.0,6.0,6.0,4,10.0,14.0,5.0
164,555,264,1994,8,9,14.0,3.0,7.0,7.0,5,4.0,43.0,2.0
165,555,264,1994,8,9,79.0,25.0,8.0,8.0,6,5.0,9.0,7.0
166,555,264,1994,8,9,84.0,1.0,9.0,9.0,\N,6.0,14.0,4.0
167,555,264,1994,8,9,50.0,22.0,10.0,10.0,8,0.0,67.0,1.0
168,555,264,1994,8,9,87.0,25.0,11.0,11.0,\N,4.0,9.0,7.0
169,555,264,1994,8,9,56.0,17.0,12.0,12.0,\N,1.0,14.0,5.0
170,555,264,1994,8,9,49.0,15.0,13.0,13.0,7,5.0,10.0,6.0
171,555,264,1994,8,9,94.0,18.0,14.0,14.0,10,4.0,5.0,8.0
172,555,264,1994,8,9,44.0,27.0,15.0,15.0,12,0.0,0.0,12.0
173,555,264,1994,8,9,81.0,29.0,16.0,16.0,\N,0.0,3.0,9.0
174,555,264,1994,8,9,105.0,18.0,17.0,17.0,\N,1.0,5.0,8.0
175,555,264,1994,8,9,110.0,15.0,18.0,18.0,\N,4.0,10.0,6.0
176,555,264,1994,8,9,70.0,32.0,19.0,19.0,\N,0.0,0.0,11.0
177,555,264,1994,8,9,104.0,29.0,20.0,20.0,9,3.0,3.0,9.0
178,555,264,1994,8,9,65.0,32.0,21.0,21.0,11,0.0,0.0,11.0
179,555,264,1994,8,9,100.0,33.0,22.0,22.0,\N,1.0,1.0,10.0
180,555,264,1994,8,9,103.0,27.0,23.0,23.0,13,0.0,0.0,12.0
181,555,264,1994,8,9,106.0,33.0,24.0,24.0,14,0.0,1.0,10.0
182,555,264,1994,8,9,101.0,31.0,25.0,25.0,15,0.0,0.0,13.0
183,555,264,1994,8,9,111.0,31.0,26.0,26.0,16,0.0,0.0,13.0
184,556,265,1994,9,10,77.0,6.0,1.0,1.0,1,27.0,52.0,2.0
185,556,265,1994,9,10,55.0,6.0,2.0,2.0,\N,19.0,52.0,2.0
186,556,265,1994,9,10,71.0,3.0,3.0,3.0,8,39.0,43.0,3.0
187,556,265,1994,9,10,30.0,22.0,4.0,4.0,\N,66.0,67.0,1.0
188,556,265,1994,9,10,79.0,25.0,5.0,5.0,\N,5.0,9.0,8.0
189,556,265,1994,9,10,14.0,3.0,6.0,6.0,\N,4.0,43.0,3.0
190,556,265,1994,9,10,87.0,25.0,7.0,7.0,\N,4.0,9.0,8.0
191,556,265,1994,9,10,57.0,1.0,8.0,8.0,\N,8.0,14.0,4.0
192,556,265,1994,9,10,49.0,15.0,9.0,9.0,\N,5.0,10.0,7.0
193,556,265,1994,9,10,56.0,17.0,10.0,10.0,\N,1.0,14.0,5.0
194,556,265,1994,9,10,22.0,17.0,11.0,11.0,\N,10.0,14.0,5.0
195,556,265,1994,9,10,44.0,27.0,12.0,12.0,2,6.0,10.0,6.0
196,556,265,1994,9,10,84.0,1.0,13.0,13.0,\N,6.0,14.0,4.0
197,556,265,1994,9,10,103.0,27.0,14.0,14.0,3,4.0,10.0,6.0
198,556,265,1994,9,10,65.0,32.0,15.0,15.0,\N,0.0,0.0,12.0
199,556,265,1994,9,10,81.0,29.0,16.0,16.0,5,2.0,8.0,9.0
200,556,265,1994,9,10,104.0,29.0,17.0,17.0,4,6.0,8.0,9.0
201,556,265,1994,9,10,110.0,15.0,18.0,18.0,\N,4.0,10.0,7.0
202,556,265,1994,9,10,50.0,22.0,19.0,19.0,\N,0.0,67.0,1.0
203,556,265,1994,9,10,94.0,18.0,20.0,20.0,\N,4.0,5.0,10.0
204,556,265,1994,9,10,70.0,32.0,21.0,21.0,\N,0.0,0.0,12.0
205,556,265,1994,9,10,100.0,33.0,22.0,22.0,6,2.0,2.0,11.0
206,556,265,1994,9,10,105.0,18.0,23.0,23.0,\N,1.0,5.0,10.0
207,556,265,1994,9,10,106.0,33.0,24.0,24.0,7,0.0,2.0,11.0
208,556,265,1994,9,10,101.0,31.0,25.0,25.0,\N,0.0,0.0,13.0
209,556,265,1994,9,10,111.0,31.0,26.0,26.0,\N,0.0,0.0,13.0
210,557,266,1994,10,11,30.0,22.0,1.0,1.0,1,76.0,81.0,1.0
211,557,266,1994,10,11,71.0,3.0,2.0,2.0,2,45.0,49.0,3.0
212,557,266,1994,10,11,14.0,3.0,3.0,3.0,\N,4.0,49.0,3.0
213,557,266,1994,10,11,77.0,6.0,4.0,4.0,12,27.0,52.0,2.0
214,557,266,1994,10,11,79.0,25.0,5.0,5.0,\N,5.0,11.0,7.0
215,557,266,1994,10,11,84.0,1.0,6.0,6.0,4,9.0,17.0,4.0
216,557,266,1994,10,11,56.0,17.0,7.0,7.0,\N,1.0,14.0,5.0
217,557,266,1994,10,11,49.0,15.0,8.0,8.0,\N,5.0,10.0,8.0
218,557,266,1994,10,11,44.0,27.0,9.0,9.0,6,7.0,11.0,6.0
219,557,266,1994,10,11,22.0,17.0,10.0,10.0,\N,10.0,14.0,5.0
220,557,266,1994,10,11,87.0,25.0,11.0,11.0,5,6.0,11.0,7.0
221,557,266,1994,10,11,50.0,22.0,12.0,12.0,3,4.0,81.0,1.0
222,557,266,1994,10,11,55.0,6.0,13.0,13.0,\N,19.0,52.0,2.0
